code	gen1	gen2	gen3	gen4	gen5	gen6	gen7	gen8	gen9	gen10	gen11	gen12	gen13	gen14	gen15	gen16	gen17	gen18	gen19	gen20	gen21	gen22	gen23	gen24	gen25	gen26	gen27	forest	geology	surface
1299	0	0	0	0	0	2	0	55	2	11	16	5	9	0	0	1	0	0	21	2	5	0	0	13	32	1	0	2	3	5
2644	9	0	3	0	2	2	1	14	1	20	29	5	10	3	0	7	0	0	0	0	5	0	7	5	19	0	2	7	6	15
1838	9	0	0	0	1	0	3	0	4	63	30	20	13	3	7	0	0	0	0	4	5	0	0	1	3	21	7	5	6	17.5
534	0	4	0	0	9	1	11	19	0	5	24	38	17	0	0	0	14	1	108	3	6	0	6	14	34	87	30	1	5	20.5
3213	1	1	0	0	0	0	4	5	1	5	15	23	4	6	0	5	4	0	7	2	0	0	3	7	5	18	8	1	6	10.5
1861	19	3	1	11	0	1	0	33	4	13	63	2	76	14	3	36	0	0	3	0	11	2	18	48	130	1	0	7	3	20
3445	1	4	0	0	2	0	0	12	0	11	10	3	2	0	0	2	2	0	37	0	1	1	3	16	8	9	20	1	3	5
865	4	0	0	0	0	1	0	1	0	38	9	0	6	9	0	0	1	0	0	2	3	0	0	0	0	0	0	2	3	5
3644	3	0	2	0	0	1	1	2	1	17	17	11	12	1	1	1	4	0	8	2	3	0	2	5	6	13	1	1	2	6
561	0	0	0	0	0	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	3	5.5
185	1	0	1	0	5	0	0	1	3	206	25	2	8	0	2	5	0	0	1	4	9	0	3	2	7	60	0	6	5	23
1884	12	0	0	0	0	0	0	0	3	36	16	13	12	0	2	0	0	0	0	7	2	1	0	0	0	5	1	5	6	6
566	4	0	0	0	0	2	0	3	1	19	1	0	2	0	0	0	0	0	0	1	0	1	0	2	2	0	0	1	3	5.5
182	2	0	0	0	8	0	1	0	1	17	6	6	7	0	2	2	1	0	5	10	1	0	1	2	3	63	6	6	5	13
501	1	0	0	3	1	0	0	1	0	12	6	4	5	0	0	0	0	0	1	0	3	0	1	4	2	5	1	7	1	5.5
1632	3	0	0	0	0	1	1	1	0	65	23	0	21	0	0	2	0	0	0	11	1	0	0	3	3	19	0	2	6	14.5
2827	5	1	2	2	1	0	0	4	3	14	29	9	13	3	1	0	1	0	0	0	7	0	10	14	9	7	18	7	6	8.5
1032	4	0	0	0	0	0	0	0	0	66	1	0	1	1	0	0	0	0	0	3	5	0	0	0	0	1	0	1	1	5
715	0	0	0	0	0	4	0	0	0	7	2	0	4	0	0	0	0	0	0	1	3	0	1	2	0	0	0	2	3	6
2167	3	0	0	0	3	0	4	8	4	18	18	17	1	2	0	2	3	0	0	2	1	0	6	18	21	29	1	7	6	12.5
1998	2	0	0	1	0	0	0	0	0	23	12	0	14	1	0	3	0	0	0	0	3	0	0	0	4	0	0	7	3	4.44
668	3	0	0	0	1	0	0	0	0	1	1	0	1	3	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	2.5
207	10	0	0	0	0	1	2	1	3	66	45	36	8	0	1	0	1	0	0	3	21	0	2	1	1	59	4	6	5	22
2955	1	0	0	3	0	0	2	7	1	24	32	13	25	2	0	1	4	0	2	1	6	5	2	13	17	8	11	7	6	11
605	0	0	0	0	0	0	0	0	0	3	4	0	4	0	0	0	0	0	0	0	0	0	1	0	0	10	12	1	1	2.0002064492
357	0	0	0	0	1	1	2	1	1	0	11	0	3	0	0	0	0	0	0	1	1	0	1	2	0	33	28	7	5	8
1873	0	0	4	0	0	0	0	0	0	13	8	0	2	4	0	0	1	0	0	0	0	0	0	1	0	4	0	5	6	3
197	7	0	0	3	3	0	4	0	0	9	22	6	3	0	1	1	0	0	0	1	5	1	7	1	3	36	1	6	5	11
1366	0	4	0	0	0	0	0	28	0	10	22	8	17	0	1	1	0	0	12	0	3	0	1	7	16	0	0	4	5	4.5
2954	1	2	4	0	0	0	0	2	1	11	23	4	21	2	1	2	0	0	0	0	8	2	7	8	5	13	0	5	6	8
250	4	0	0	1	2	0	4	0	2	13	28	16	10	0	1	2	0	1	8	7	5	0	11	1	4	46	61	7	5	17
407	4	0	0	0	4	0	15	9	0	70	48	29	35	0	3	3	7	0	4	0	7	4	11	11	2	52	41	5	1	17
724	0	0	0	0	0	0	0	0	0	10	2	0	4	7	0	0	0	0	0	0	0	0	0	0	0	3	0	2	1	5.5
429	0	15	0	0	2	0	22	11	1	117	61	62	58	0	17	7	8	0	0	2	0	0	19	4	6	71	76	1	1	17.5
3170	2	0	0	0	0	0	0	109	0	7	8	6	2	1	0	0	0	0	8	0	8	2	0	83	41	0	0	1	5	4.05
148	2	0	0	0	6	4	2	3	5	14	20	1	10	0	3	1	1	0	0	3	0	0	10	8	3	53	10	6	5	17
2058	6	0	0	0	0	0	0	1	0	6	21	3	22	1	5	3	0	0	0	0	3	1	2	4	15	0	0	7	6	7
1117	6	0	0	0	0	0	0	0	1	68	2	0	5	0	0	0	0	0	0	1	2	0	0	0	2	2	0	2	1	5
642	2	0	0	5	3	2	8	0	1	24	44	33	61	0	0	0	2	0	1	3	11	0	7	0	4	99	19	1	1	23.0026022369
1178	0	0	0	0	5	1	16	0	0	46	33	6	20	0	0	0	1	0	0	6	6	0	8	2	0	121	134	7	5	16.5
923	0	0	0	0	0	2	0	0	0	16	4	0	3	1	0	0	0	0	0	1	0	0	1	0	1	1	0	2	3	5.5
1943	5	0	0	3	0	0	0	1	0	26	21	5	8	0	2	3	0	0	0	1	9	0	6	1	3	0	0	7	3	7.25
84	1	0	0	2	4	1	0	52	1	17	12	3	5	0	1	3	2	1	1	4	10	2	18	14	6	16	0	6	5	12
1583	0	0	0	0	0	0	0	0	0	31	13	0	8	4	0	0	0	0	0	0	1	0	1	2	0	6	0	1	6	6.5
3093	3	6	3	3	0	2	0	11	0	44	26	1	23	2	3	3	1	0	13	0	15	0	6	17	76	0	0	7	3	10.5
42	4	0	0	1	3	1	1	3	1	5	6	12	16	0	4	1	1	0	0	3	3	0	9	9	1	18	0	6	5	13
1484	1	1	0	0	0	5	4	3	0	18	5	0	6	6	0	0	3	0	0	6	0	0	4	3	8	43	0	2	6	10
2602	2	0	1	0	0	0	0	4	0	21	9	0	11	0	1	5	1	0	0	3	2	0	5	9	102	0	0	7	3	8.5
1345	2	0	0	0	0	1	0	0	0	114	24	5	3	6	1	0	0	0	0	2	3	0	1	3	4	1	0	5	3	10.5
387	1	0	0	2	1	1	2	7	1	7	11	5	7	0	0	0	0	0	15	0	2	0	1	2	1	54	36	7	5	9.5
722	1	0	0	0	0	2	0	39	0	4	3	0	2	3	0	0	0	0	92	0	0	0	2	7	20	3	0	2	1	6
2856	9	0	0	1	0	0	2	9	0	34	31	0	22	1	3	6	0	0	19	1	13	0	8	11	35	5	0	7	3	10.175
3446	2	3	6	0	1	0	1	84	0	25	27	12	14	0	2	1	4	1	125	0	0	0	5	44	35	21	36	1	3	10.5
1456	1	2	0	0	1	0	8	16	0	4	8	8	4	0	2	0	0	0	41	3	0	0	5	26	10	17	2	2	6	3.5
91	4	0	0	0	0	0	1	2	1	6	8	1	7	0	0	5	0	0	6	0	2	2	3	2	2	11	0	6	5	12
3166	1	0	2	0	0	0	0	7	0	3	8	0	2	1	0	0	0	0	4	0	0	0	1	5	9	0	0	1	3	4
2152	8	1	0	0	0	0	0	0	7	21	12	2	31	4	0	0	0	0	0	2	1	0	0	2	0	8	0	5	6	14.5
2587	1	0	0	0	0	0	0	0	0	6	9	0	11	0	0	0	0	0	0	1	2	0	5	1	0	2	0	7	6	3
3229	3	2	2	1	0	2	0	8	0	16	18	0	8	1	1	0	1	0	13	0	4	0	1	24	46	0	0	7	3	8
2380	1	1	0	0	0	0	0	5	0	1	2	0	7	14	2	1	0	0	0	1	1	0	3	3	3	0	18	7	6	2
2213	1	0	0	0	1	0	0	3	0	15	9	1	18	0	0	0	3	0	0	2	5	0	6	10	16	2	0	6	6	4
3381	1	6	3	0	0	3	0	25	0	3	10	1	7	0	1	0	1	0	7	0	4	0	2	25	35	0	0	7	3	5.5
3409	2	0	0	0	0	0	0	3	2	24	21	0	5	17	2	3	0	0	12	1	2	2	3	6	10	10	1	5	6	10.5
2918	6	0	0	0	0	0	1	8	1	12	25	4	20	0	0	8	2	0	19	2	2	1	3	28	33	17	3	1	6	11
3315	2	3	1	0	0	0	0	0	0	4	2	3	0	0	0	0	2	0	0	0	0	0	0	0	0	4	15	6	6	3
2146	2	0	0	0	0	0	1	3	4	5	16	2	24	7	0	0	1	0	0	0	1	0	1	6	5	18	0	5	6	9
3139	0	2	0	2	0	0	1	17	2	0	14	11	16	1	0	0	19	0	11	1	1	0	2	6	11	22	0	5	6	6.5
3029	0	0	0	0	0	0	0	0	0	11	13	5	8	0	0	0	3	0	0	0	3	0	0	5	3	13	0	5	6	4
2553	5	0	3	1	0	1	0	10	1	11	21	2	7	0	0	4	3	0	5	1	12	0	8	21	112	2	0	7	3	10
3308	2	10	2	0	0	2	0	33	0	11	32	2	15	5	1	1	1	0	16	0	10	0	7	56	71	0	0	1	3	10
2981	4	1	0	2	0	0	1	8	0	24	38	4	31	0	2	5	5	0	1	4	7	0	4	30	47	3	0	7	3	8.19
2372	4	1	0	0	0	0	1	6	8	29	59	19	11	4	2	8	7	0	0	2	7	2	4	22	56	53	7	7	6	14
3606	3	4	0	0	0	0	1	8	0	15	18	9	14	0	4	1	0	0	14	1	3	0	9	9	19	6	13	1	2	8
1191	0	0	0	0	0	0	0	0	0	35	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2	3	5.5
3224	6	0	2	0	0	0	0	1	0	24	27	2	26	8	3	1	3	0	11	3	9	3	5	18	80	2	0	7	3	10
667	7	0	0	0	1	1	0	5	0	21	5	0	2	4	1	3	0	0	0	2	2	1	0	2	2	4	0	2	1	8
2053	0	0	0	0	0	0	0	5	0	6	7	0	3	0	0	0	0	0	0	0	2	0	1	1	1	0	0	5	6	2
3584	1	0	0	0	0	0	0	1	1	12	2	2	0	18	0	2	0	0	9	0	2	0	1	4	2	3	2	1	2	3.75
986	10	0	0	0	0	1	0	4	0	60	10	0	13	10	0	1	0	0	0	1	2	0	1	3	2	1	0	1	1	10
2746	8	1	1	4	0	1	3	0	2	24	71	8	60	11	0	2	0	0	0	2	30	0	13	1	8	6	0	7	6	22
53	1	0	0	0	0	1	0	10	0	0	3	2	4	0	0	0	1	0	4	4	2	0	3	6	2	11	0	6	5	7.5
1674	4	13	2	0	1	0	1	14	0	33	82	7	42	13	8	3	0	0	3	0	11	1	5	88	93	7	0	7	3	18.5
3651	0	0	0	0	0	1	0	1	0	3	1	1	1	0	0	0	0	0	10	0	1	0	0	1	2	0	2	1	2	1.5
2073	8	2	2	1	0	0	0	11	0	19	32	0	15	1	1	7	0	0	0	2	10	2	11	17	48	3	0	7	3	10.5
461	2	0	0	2	1	1	9	4	0	44	21	16	53	0	0	2	2	0	0	4	1	4	3	4	4	39	40	7	1	17.5
2574	3	0	0	0	0	1	0	10	4	24	20	11	0	1	1	0	0	1	0	1	0	0	6	0	12	2	0	5	6	11
595	2	0	0	0	0	1	0	13	0	5	10	0	5	1	2	1	0	0	0	0	0	0	2	4	4	0	0	1	1	4
1756	5	0	0	0	2	0	1	0	3	34	44	32	5	1	6	1	0	0	0	1	5	0	5	2	2	18	27	1	2	17.5
1962	0	0	0	0	0	0	0	0	0	16	2	0	0	1	0	2	0	0	0	1	6	0	1	3	0	1	0	5	6	5
1102	1	0	0	0	0	1	0	0	0	1	1	0	5	3	0	0	1	0	0	1	0	0	0	0	0	0	0	2	6	2.5
815	2	0	0	0	0	1	1	0	0	33	10	0	3	2	0	0	0	0	0	2	0	0	0	0	0	0	0	2	3	5.5
3639	0	0	0	0	0	0	0	0	4	2	0	0	0	6	0	0	1	0	7	0	1	0	0	0	0	0	0	5	2	1.5
1768	7	5	2	0	0	1	0	3	1	46	38	13	80	0	5	9	1	0	1	0	20	1	7	15	41	3	0	7	3	20
1972	1	4	0	0	0	7	1	23	0	4	12	28	28	1	0	0	6	0	13	1	1	1	6	24	43	15	0	5	6	9
64	2	1	0	2	2	3	0	86	1	10	11	1	14	0	2	4	2	0	0	0	9	1	26	36	16	8	0	6	5	16.5
206	8	0	0	0	1	1	4	0	2	145	23	17	6	4	5	0	0	0	1	5	17	0	0	0	0	73	4	6	5	15.5
582	0	3	0	0	1	1	22	18	0	5	16	27	10	0	0	0	8	0	69	2	0	0	4	38	22	75	4	2	5	20.5
1438	0	0	0	0	1	0	1	0	1	14	7	0	6	1	0	0	0	0	0	1	0	0	0	0	0	17	0	5	6	3
1001	8	5	1	0	6	2	12	4	7	133	114	57	92	0	8	0	2	9	106	2	13	0	17	33	17	179	4	7	5	30
1720	14	0	5	10	0	8	0	31	0	59	112	5	104	0	7	17	1	0	9	1	31	1	30	26	136	1	0	7	3	30.5
3042	12	0	3	2	0	1	12	7	4	34	54	9	38	3	3	4	7	0	0	5	20	2	8	15	34	28	0	7	6	21
3348	0	2	0	0	0	2	1	5	2	13	9	0	6	12	1	5	4	0	23	2	4	0	2	10	5	11	0	1	6	10.5
3061	4	8	12	0	0	0	4	5	8	50	80	18	22	10	12	2	8	1	6	7	13	6	6	38	100	12	1	7	3	16
2713	8	0	2	1	0	3	0	10	0	39	30	3	25	9	3	6	0	0	17	1	13	0	9	36	116	0	0	7	3	16
2559	0	0	0	0	0	0	0	0	0	0	0	5	14	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	6	0.5
184	8	0	0	3	13	1	2	0	1	160	23	6	6	0	4	1	1	0	13	6	11	0	3	4	11	95	0	6	5	22.5
801	5	0	0	3	7	1	4	13	1	93	50	16	75	0	0	2	0	0	10	6	14	0	4	0	9	62	0	7	5	20.5
3064	0	0	0	0	0	0	0	0	0	11	1	3	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	3	6	1
364	4	0	0	0	0	1	2	2	2	5	23	10	6	0	0	0	0	0	2	1	3	0	0	3	1	39	0	7	5	12
1642	3	0	0	0	1	0	0	0	0	8	25	12	4	0	0	0	0	0	0	0	2	0	2	0	0	35	5	5	6	7.5
3711	3	1	0	0	0	0	3	27	3	63	20	0	11	8	1	3	4	1	54	1	3	0	1	34	21	26	3	1	2	9.5
2485	1	1	1	2	1	2	0	2	0	19	29	3	34	5	0	9	0	0	0	2	16	0	11	10	19	1	0	7	3	10.5
3051	7	3	2	1	0	1	2	7	1	21	21	0	23	9	0	0	5	0	13	1	6	1	6	40	88	4	0	7	3	10
896	15	1	1	5	3	6	21	8	4	199	67	38	63	0	0	1	1	5	195	10	19	0	11	4	17	106	17	7	5	26.5
3098	9	3	23	0	0	0	1	0	1	60	47	0	23	2	8	2	5	0	14	1	27	2	3	20	202	0	0	7	3	16.5
2538	3	0	0	1	0	0	0	6	0	9	15	4	12	13	2	7	0	0	0	3	4	1	2	4	45	5	0	7	3	7.435
141	2	3	0	1	7	4	3	4	0	8	15	6	10	0	3	1	0	0	0	3	0	0	24	11	3	39	8	6	5	17
1706	5	0	0	0	2	0	2	0	0	28	48	11	6	0	7	0	0	0	2	1	3	0	12	0	4	4	2	1	6	16.5
1652	10	1	0	0	1	0	5	0	2	78	50	46	37	3	4	2	1	0	0	4	3	1	9	5	7	33	34	1	6	19
2028	4	0	0	0	0	0	0	0	2	9	12	0	29	4	0	0	0	0	0	3	2	0	0	2	0	0	0	5	6	6
709	0	3	0	0	1	0	1	17	0	0	0	0	0	0	1	0	1	0	25	0	0	0	9	10	0	6	0	4	5	8
299	2	0	0	0	0	1	0	0	0	0	10	2	0	0	0	0	0	0	0	2	1	0	1	0	0	4	0	7	5	2.5
787	1	0	0	0	1	0	1	0	0	5	18	5	6	0	0	0	0	0	0	1	1	0	0	1	1	26	8	1	1	4.6294000952
3714	6	3	0	0	0	2	1	29	3	61	14	0	10	4	0	0	5	0	34	2	8	0	3	27	21	11	3	1	2	10
415	3	1	1	0	0	0	0	2	0	1	9	10	0	0	0	0	0	0	3	0	1	0	2	1	1	14	4	1	5	4
1700	1	0	0	0	1	1	1	0	1	30	14	28	20	0	4	0	0	0	0	0	0	0	1	4	1	14	5	5	6	9
3516	2	2	1	0	1	0	0	2	1	9	35	22	24	1	1	1	0	1	29	0	4	1	0	20	6	19	0	1	3	7.94
2928	3	2	2	0	2	0	0	2	1	8	36	14	8	2	1	3	3	0	0	1	6	0	11	10	14	2	0	1	6	12.125
2349	0	2	0	0	0	0	0	26	1	2	21	0	18	0	0	0	1	0	1	0	5	0	14	42	20	11	0	3	6	4
449	0	9	0	0	3	0	9	3	2	83	41	34	42	0	4	1	1	0	0	7	2	0	9	3	6	70	67	1	1	16.5
52	3	0	0	1	3	0	1	22	1	8	5	1	6	0	2	9	0	0	21	2	2	1	12	13	6	0	0	6	5	10.5
3562	2	1	2	0	0	0	1	1	0	6	21	22	18	1	1	0	1	0	9	2	4	0	5	8	6	11	3	1	3	6.94
3288	1	2	1	0	0	1	0	22	4	10	9	8	6	11	0	2	11	0	4	0	0	0	3	9	25	8	5	3	6	6.5
1349	3	0	0	0	0	0	0	0	3	138	14	5	12	1	2	3	0	0	2	1	1	0	6	3	11	0	0	5	3	9
2487	0	0	0	1	0	1	0	2	0	11	7	0	8	1	1	1	0	0	0	5	5	0	4	1	16	0	0	7	3	5.5
698	2	0	6	7	2	1	2	19	4	42	39	6	97	1	1	3	0	0	101	1	11	5	18	2	8	41	0	7	5	24
1194	0	0	0	0	0	3	0	0	0	29	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	3	10.08
746	0	0	0	0	0	1	0	0	0	22	6	0	5	0	0	0	0	0	9	1	0	0	1	0	0	2	0	7	5	1.5
1204	3	0	1	0	0	0	0	4	0	57	9	0	14	0	2	1	1	0	8	1	3	1	0	29	37	0	0	1	1	5
1192	0	0	0	0	0	1	0	0	0	70	1	0	3	3	0	0	0	0	0	1	4	0	0	0	0	0	0	2	3	5.5
220	9	1	0	0	10	1	0	3	4	84	15	3	8	0	1	5	0	0	0	3	5	0	2	2	3	43	0	6	5	18.5
3727	0	11	3	0	4	3	2	69	4	31	17	0	8	7	0	7	7	0	44	1	1	0	7	44	36	15	4	1	2	10.5
218	9	2	0	2	11	1	2	0	8	103	24	5	7	0	2	2	2	0	0	4	5	0	2	2	3	45	2	6	5	21.5
750	9	0	2	1	1	4	8	1	0	84	69	23	54	0	3	0	0	0	0	6	7	1	30	1	4	119	13	7	5	22.5
657	0	49	0	3	8	5	16	125	1	10	62	35	63	0	2	0	9	0	94	8	16	0	36	18	19	193	17	1	5	29
1247	1	0	0	0	0	1	0	1	0	38	9	0	5	6	0	0	4	0	0	5	3	0	1	3	5	2	0	5	6	6.25
2906	0	8	1	0	0	2	0	0	0	6	10	2	11	0	11	0	0	1	0	0	14	1	13	34	63	0	0	1	3	7
3010	3	3	4	0	1	1	1	5	0	13	19	0	20	3	8	2	2	0	36	0	9	1	2	19	29	2	0	7	3	6.81
423	2	0	0	4	3	0	2	2	0	11	18	12	19	3	0	7	0	0	0	2	1	0	3	0	4	9	1	7	5	11
1058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	1	5	1.5
3550	1	0	0	0	0	0	1	1	0	13	20	10	10	0	1	0	0	1	12	0	2	0	0	4	1	9	0	1	3	5
125	0	0	1	0	0	0	0	2	0	8	3	0	6	0	0	0	1	0	0	4	6	0	4	4	4	5	0	6	5	10
718	1	0	0	0	0	0	0	0	0	24	5	0	7	1	0	0	0	0	0	1	1	0	3	0	1	1	0	2	3	5
1142	6	0	0	0	0	7	0	0	0	1	2	0	4	10	0	0	0	0	0	2	4	0	0	1	0	0	0	2	6	5.5
1788	1	0	0	0	0	0	3	0	0	28	24	22	16	2	3	0	0	0	0	0	4	0	1	2	0	15	1	5	6	8
2446	5	1	1	0	0	0	0	7	1	25	21	5	12	2	2	3	1	0	0	0	9	0	9	11	98	1	0	7	3	10
2601	11	2	2	5	0	1	0	6	1	15	27	0	19	2	1	5	0	0	0	1	15	0	4	15	74	0	0	7	3	10
198	4	0	0	0	1	0	0	0	0	4	3	1	0	0	0	0	0	0	0	3	2	0	0	1	1	8	0	6	5	2.5
1188	7	0	0	0	0	0	0	0	0	148	9	0	10	11	0	0	1	0	0	4	3	0	0	0	0	1	0	2	3	10
3556	1	0	0	0	0	0	1	3	0	4	6	5	0	1	0	0	1	0	8	0	1	0	4	4	15	1	6	1	2	2
2767	0	0	0	0	0	2	2	0	8	22	49	11	22	24	23	2	10	3	2	1	53	2	8	27	31	7	0	1	6	11.5
32	2	0	0	0	0	1	1	3	0	5	5	6	6	0	4	4	2	0	0	1	3	2	5	5	2	11	0	6	5	11
976	1	0	0	0	0	0	0	0	0	18	0	0	2	2	0	0	0	0	0	1	2	0	0	0	0	0	0	2	3	5.5
716	2	0	0	0	0	3	0	0	0	29	3	0	8	1	0	0	0	0	0	3	1	0	0	0	1	0	0	2	3	6.5
1115	4	0	0	0	0	0	0	0	0	92	11	0	10	0	0	2	0	0	0	1	12	0	1	1	1	0	0	5	3	9
3532	4	6	3	0	1	0	0	14	0	24	40	37	20	1	0	0	0	0	26	0	6	1	2	47	56	14	13	5	3	10.5
1830	0	0	0	0	0	0	1	0	0	4	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	3	6	1
3125	3	2	0	0	0	0	0	4	1	18	23	2	21	3	1	2	0	0	6	2	11	1	1	18	47	0	0	7	3	8
1909	0	0	0	0	0	0	0	0	0	3	2	0	9	16	0	0	3	0	0	5	2	0	0	0	0	3	0	5	6	6
912	1	7	0	0	6	3	12	115	1	10	63	34	57	0	6	0	3	0	60	7	8	0	9	18	21	173	61	1	5	21
2647	2	0	1	5	0	2	0	0	0	12	31	8	15	10	1	2	0	0	0	3	15	0	7	0	2	2	0	7	6	10.5
329	1	0	0	3	0	1	2	9	0	9	9	6	4	0	0	0	1	0	84	1	0	0	14	7	7	14	51	1	5	7.5
3083	10	2	0	0	1	0	0	37	2	20	65	3	21	8	3	3	2	0	5	4	12	0	7	30	68	11	0	1	6	14
3464	4	1	1	0	2	1	2	53	2	25	36	14	6	0	1	6	1	1	93	2	2	0	4	67	19	28	46	1	3	9
1309	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0.5
1831	2	0	0	0	0	0	1	0	0	7	0	0	0	17	0	1	0	0	0	0	4	0	0	1	1	0	0	6	6	4.5
1535	0	0	1	0	0	1	2	0	1	91	18	0	21	1	0	3	0	0	0	1	2	0	1	1	1	1	0	1	6	10.5
2205	6	5	0	0	2	0	0	4	1	1	10	2	14	0	2	0	0	0	0	0	7	3	4	6	15	3	0	5	6	8.5
2651	5	1	2	0	0	0	0	6	0	12	50	6	15	0	1	3	2	0	0	1	11	0	7	5	31	0	0	7	3	10
2459	1	1	10	8	1	1	0	15	2	22	73	9	23	15	3	8	2	14	15	0	16	4	9	49	97	0	0	7	3	15.35
2706	15	0	7	2	0	1	0	2	0	82	47	1	21	2	1	10	1	0	0	7	18	4	6	20	101	13	0	7	3	14.75
3294	6	1	0	0	0	0	3	0	5	102	33	2	5	25	2	3	8	0	2	0	0	0	2	8	2	43	18	7	6	18.5
1960	0	0	0	0	0	3	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	2
2153	4	1	0	0	1	0	0	6	4	25	44	3	24	1	0	0	0	0	0	2	12	2	3	6	9	0	0	5	6	15
1318	0	0	0	0	0	0	1	0	1	42	8	5	3	0	1	1	0	0	0	3	1	0	0	1	1	5	0	1	3	5
2540	6	0	0	0	0	0	0	3	0	13	20	1	8	12	3	5	0	0	0	12	7	1	6	11	46	0	0	7	3	7.51
375	1	0	0	0	1	0	0	0	0	0	5	3	1	0	0	0	0	0	0	2	3	0	1	0	1	46	4	7	5	4
3188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	3	0.16
1595	3	0	0	0	2	3	1	3	1	16	11	19	0	3	3	0	1	0	5	0	1	0	6	6	10	27	8	5	6	10
1500	1	0	0	0	0	0	0	4	5	10	8	7	19	0	1	0	0	0	25	0	1	0	6	2	1	2	0	6	6	5.5
1133	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	3	1	1	5	0.5
3009	2	4	2	0	0	1	0	18	1	10	20	1	7	10	1	2	2	0	2	2	5	0	15	20	57	8	0	7	6	7.25
1675	2	3	0	5	0	2	3	16	0	24	46	6	34	81	3	7	1	0	2	3	10	4	24	63	125	9	0	7	3	21
3428	0	2	1	0	0	0	0	6	0	2	8	1	0	0	1	0	0	0	30	0	0	1	0	10	8	4	7	1	1	3.5
2037	3	0	0	0	0	0	3	0	0	2	27	7	31	4	0	0	0	0	0	1	3	0	1	3	0	19	0	5	6	11
2108	4	0	1	0	4	1	0	0	0	4	14	13	17	0	3	0	0	0	15	2	1	0	8	5	5	1	0	6	6	5.5
361	7	1	0	0	0	0	1	0	0	1	8	5	4	0	0	0	0	0	0	0	5	0	2	3	0	29	21	7	5	8.5
1833	2	0	0	0	0	4	0	38	5	27	5	4	1	0	0	5	3	0	25	1	5	2	7	18	8	2	0	3	6	11.5
244	9	0	0	3	4	1	3	2	5	29	45	30	22	0	1	1	6	0	0	2	23	0	9	2	1	98	5	6	5	22.5
