code	gen1	gen2	gen3	gen4	gen5	gen6	gen7	gen8	gen9	gen10	gen11	gen12	gen13	gen14	gen15	gen16	gen17	gen18	gen19	gen20	gen21	gen22	gen23	gen24	gen25	gen26	gen27	forest	geology	surface
3297	2	2	0	0	0	5	3	15	9	49	29	0	9	24	2	7	2	0	26	0	11	0	4	28	24	22	0	1	6	21
70	4	0	0	0	0	4	0	19	0	3	13	0	5	0	2	1	2	0	2	2	0	3	7	15	6	11	0	6	5	11
1381	8	0	0	0	0	6	1	3	0	128	22	0	16	10	0	1	0	0	0	7	4	0	2	3	14	9	0	5	6	18
3379	3	9	4	0	0	0	0	51	0	12	59	13	21	1	3	4	0	0	33	0	4	1	8	37	71	0	0	1	3	10.31
2658	15	0	1	0	0	1	0	10	0	47	20	2	8	2	0	4	0	0	0	0	9	4	5	20	95	0	0	7	3	11
2203	5	0	0	0	0	0	1	0	4	41	27	1	33	5	0	0	1	0	0	2	10	2	3	4	0	2	0	5	6	20.5
613	2	1	1	5	4	7	12	55	1	24	51	52	10	0	3	0	1	1	308	2	5	0	12	11	22	89	4	1	5	23
1305	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	5	0	0	4	2	0	0	2	6	3.5
73	4	0	0	0	0	0	1	3	0	0	5	0	3	0	2	1	0	0	0	0	1	0	7	1	2	2	0	6	5	6
3233	2	2	1	0	0	0	3	8	4	38	32	5	31	12	0	4	15	0	10	2	8	1	6	21	7	34	26	1	6	20
136	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	4	1	6	5	1
2326	7	0	0	1	1	1	0	6	2	7	18	4	24	3	7	1	0	0	0	0	11	3	6	12	26	5	0	7	3	12
443	3	1	0	3	0	1	2	0	3	22	26	16	37	0	0	4	2	0	0	0	5	0	3	6	11	33	8	7	5	17.5
1879	3	1	0	0	1	3	2	5	4	7	19	20	41	1	1	0	9	0	0	1	2	2	8	11	21	12	3	5	6	13
2877	2	0	0	0	0	3	0	11	2	10	29	3	8	0	0	3	2	0	0	1	7	0	3	19	14	4	1	7	6	7.5
494	0	4	0	0	7	0	18	44	0	0	8	8	10	0	0	0	12	0	220	5	1	0	17	6	3	65	40	2	5	15
3485	0	0	0	0	0	1	2	0	0	21	9	1	2	6	0	2	2	3	14	0	1	1	2	8	2	46	6	1	6	8.5
1222	2	0	0	0	0	0	0	0	0	122	3	0	0	3	0	0	0	0	0	1	2	0	0	0	0	3	0	2	3	5.5
3280	2	3	1	0	0	0	0	2	1	12	17	1	5	14	3	1	0	0	9	5	7	0	5	24	16	1	0	1	3	7
130	4	0	0	1	6	6	0	36	3	13	13	5	10	0	2	1	0	0	95	2	0	3	22	22	10	35	6	7	5	18
2165	2	1	1	0	1	3	0	8	0	15	39	18	21	1	0	0	3	1	0	1	1	1	11	35	80	14	1	6	6	17
2641	3	0	3	0	0	0	0	2	3	13	26	2	12	6	1	1	0	0	0	1	7	0	7	4	12	4	0	7	6	9.5
1436	2	0	0	0	0	2	0	0	1	17	13	0	25	3	0	0	1	0	0	2	1	0	1	4	11	10	0	2	6	11.5
3123	9	0	1	1	0	0	0	4	0	9	10	1	11	4	1	0	1	0	4	0	4	0	2	3	12	1	0	7	3	5.31
2970	5	1	2	0	1	0	0	5	0	10	27	4	21	0	0	1	0	0	0	0	5	1	10	11	27	1	0	1	6	10
2428	1	0	2	0	0	0	0	2	2	15	14	1	30	0	0	1	0	0	0	4	2	2	3	2	5	0	0	7	3	9.5
1516	10	0	0	0	0	0	2	0	0	27	59	25	21	7	4	0	0	1	4	3	8	0	8	4	4	25	1	1	1	17
3705	2	5	3	0	0	1	2	11	4	9	14	1	1	1	1	2	2	0	13	0	1	3	3	21	26	7	13	1	2	6
1236	5	0	0	0	0	0	0	21	0	32	20	4	22	0	0	1	0	0	52	1	6	0	4	28	20	3	0	1	1	10
2812	2	2	2	1	0	1	1	11	0	7	24	0	20	7	3	1	2	0	23	0	7	0	9	30	60	1	0	7	3	10
2382	6	0	1	1	0	1	0	7	0	11	25	1	29	1	2	8	0	0	0	3	11	2	13	17	84	0	0	7	3	10.5
2725	0	2	2	0	0	2	5	59	0	0	15	9	5	0	0	0	2	0	124	0	1	0	9	6	50	14	0	2	6	5.5
2034	2	0	0	0	1	2	4	4	8	8	16	17	58	11	1	0	0	0	8	0	4	0	2	13	13	24	0	5	6	14.5
1159	3	0	0	0	0	1	0	1	0	24	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	5	3	5.5
1328	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	1	1	1
2397	12	0	2	1	0	0	0	11	0	8	9	0	6	0	2	5	0	0	0	3	9	6	7	6	126	0	0	7	3	10
2289	9	0	0	2	2	1	0	4	0	20	16	1	19	30	4	6	0	0	1	1	18	6	5	11	83	0	0	7	3	10.5
2356	6	3	0	0	0	2	0	12	8	16	16	11	23	2	0	0	0	0	0	1	10	1	2	23	50	10	0	5	6	13
3673	0	0	0	0	0	0	0	0	0	25	3	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	3	6	1
1130	3	0	0	0	1	0	0	19	0	21	1	5	1	6	1	1	1	0	8	2	0	0	0	4	6	13	0	1	1	5.5
3115	2	0	3	0	0	2	6	3	1	10	55	5	15	0	1	3	10	3	0	1	10	0	12	15	9	46	20	1	6	11
1575	1	0	6	3	3	6	15	2	1	25	12	15	5	19	17	10	8	0	3	0	4	4	5	15	8	37	2	7	5	18
941	3	0	0	0	0	0	0	0	0	22	8	0	8	4	0	0	0	0	0	1	2	0	1	9	3	0	0	1	1	5.5
1468	0	0	0	0	0	0	3	3	2	17	24	27	17	6	1	0	0	0	5	0	1	0	9	17	2	29	0	5	1	5
2039	2	0	0	0	0	0	1	0	1	2	11	1	9	1	0	0	0	0	0	1	4	0	1	2	0	2	0	6	6	5.5
3437	0	3	0	0	0	0	4	0	4	75	39	2	8	4	3	8	6	0	28	2	5	0	5	14	9	59	12	1	6	20
1758	1	0	1	0	0	0	9	0	1	47	48	59	30	3	3	0	0	0	0	0	9	0	4	6	1	68	33	7	2	20
3097	9	1	4	0	1	2	3	2	1	65	51	1	51	14	14	4	0	0	7	1	29	1	7	49	200	0	0	7	3	17
2637	7	1	1	0	0	1	0	12	1	14	43	15	39	15	1	0	0	0	0	3	10	1	7	15	17	1	0	7	6	15.5
2101	3	0	0	0	0	0	2	1	5	10	16	4	10	0	2	0	6	0	7	1	11	0	1	6	3	17	22	6	6	10
1669	18	0	1	0	0	2	20	5	0	32	50	16	28	44	11	11	1	0	16	0	13	1	11	4	14	40	4	7	3	19.5
2436	6	3	1	7	1	0	0	4	0	32	39	3	40	0	2	5	0	0	0	5	15	1	14	10	47	2	0	7	3	16
1165	1	0	0	0	0	1	0	2	1	8	1	0	2	0	0	0	0	0	5	0	1	0	2	3	4	0	0	1	1	2
2784	1	2	0	0	0	1	0	6	0	9	13	3	8	1	0	1	5	0	0	1	3	0	3	6	3	5	0	7	6	5
115	0	0	0	0	4	4	1	36	3	14	11	4	4	0	0	1	0	0	27	5	1	0	9	9	4	3	0	6	5	10.5
829	4	0	0	0	0	0	0	7	1	45	4	0	2	3	0	0	0	0	0	6	2	0	0	0	2	1	0	1	1	8
3259	3	3	1	1	1	0	0	21	0	16	25	3	8	3	1	1	0	0	6	1	3	0	3	18	32	0	0	7	3	9
1549	12	1	0	0	0	0	2	2	5	29	35	23	32	2	5	0	1	0	169	5	5	0	10	8	17	15	1	2	6	19
3392	6	1	0	0	0	0	1	0	2	43	23	0	1	0	2	2	6	2	5	1	3	0	1	4	8	18	8	1	6	14
3306	3	1	0	1	1	0	0	4	0	3	11	0	3	4	1	0	0	0	10	2	8	0	2	17	16	0	0	1	3	5
3190	8	1	3	1	0	0	2	2	0	14	24	3	34	3	3	1	3	0	5	2	10	1	3	15	24	0	0	5	3	10.5
1699	14	1	1	0	0	2	2	0	3	35	24	17	9	0	5	0	1	0	18	2	6	0	8	2	6	22	7	5	6	11.5
3411	3	0	1	0	0	1	2	1	4	58	11	0	5	18	3	4	6	0	5	0	1	0	2	6	10	39	20	5	6	16.5
3058	9	0	1	0	0	0	0	1	2	27	47	0	39	29	10	8	0	0	0	1	27	0	2	10	67	0	0	7	3	14
932	5	0	0	0	0	0	0	1	0	36	3	0	6	5	0	2	0	0	0	2	1	1	0	2	2	0	0	5	1	5
2038	1	0	0	0	0	0	0	0	0	0	3	3	11	1	0	0	0	0	0	2	0	0	0	0	0	6	0	6	6	2
1496	0	0	0	0	0	0	0	0	0	8	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	1
800	12	1	2	0	1	3	9	6	1	54	49	25	40	0	12	0	0	0	40	0	8	0	8	1	2	80	0	7	5	21
2239	11	0	0	0	0	0	0	3	2	20	12	0	21	0	1	3	2	0	1	0	11	3	4	21	78	1	0	7	3	10
3671	5	6	0	0	0	0	2	10	2	22	10	8	1	1	0	2	4	0	15	0	4	1	0	15	11	17	18	1	2	8.5
2155	0	0	0	0	0	0	0	0	2	6	11	4	0	0	0	0	1	0	0	1	0	0	3	1	1	2	3	6	6	2
962	2	0	0	18	1	2	19	63	0	65	66	32	19	0	1	0	6	1	36	3	25	0	18	11	27	98	158	1	5	21.5
759	0	11	0	1	5	0	1	152	0	0	11	0	10	0	0	0	1	0	93	9	0	0	16	179	21	2	0	4	5	14.5
1895	2	0	0	0	0	1	1	0	6	30	31	16	1	6	0	4	1	0	0	3	2	0	6	2	2	25	28	5	2	9.5
1340	4	0	0	0	0	1	0	0	0	69	13	0	7	2	2	3	0	0	0	1	1	0	1	0	4	3	0	5	6	7
1403	3	2	0	0	2	2	15	99	3	19	42	57	32	0	3	4	3	0	306	1	5	2	19	66	16	31	63	2	6	19
3567	2	2	1	0	1	0	0	5	0	12	25	22	9	0	0	0	1	3	69	0	3	0	7	13	34	7	7	1	2	7.5
2728	1	8	0	0	0	3	5	169	3	1	13	12	16	0	0	0	12	0	14	1	0	0	22	39	59	18	0	5	6	10
765	5	0	0	0	0	4	0	0	0	45	3	0	9	0	0	0	0	0	0	2	3	0	0	0	1	0	0	2	3	8.5
1530	1	0	0	0	0	2	1	0	0	3	8	0	7	5	0	0	2	0	0	2	0	0	0	3	2	15	0	2	6	6
1317	5	0	0	0	0	1	0	0	1	68	8	2	5	5	1	0	0	0	0	3	2	0	0	0	0	2	0	5	3	5
813	5	0	0	0	0	0	0	0	0	48	6	0	2	5	0	0	0	0	0	2	1	0	0	0	1	0	0	2	3	5.5
3571	1	1	0	0	0	0	0	0	0	13	22	3	10	1	0	0	1	0	8	0	6	0	2	2	2	28	8	5	2	8.5
280	5	0	0	0	0	0	0	0	1	12	24	7	4	0	1	0	0	0	4	1	1	0	6	0	0	37	3	7	5	9
2992	2	4	0	3	0	0	0	20	2	16	37	5	23	1	1	2	3	0	4	0	8	3	3	27	10	1	0	5	6	14
2322	1	2	0	0	0	0	1	4	2	18	25	8	39	0	1	1	1	0	1	0	2	0	6	23	45	2	0	5	6	9
2174	2	0	0	0	1	0	6	0	0	9	6	0	4	3	0	2	0	0	0	1	1	0	0	0	3	1	0	7	3	4.31
3076	4	1	3	0	0	0	6	0	6	22	51	26	8	12	4	5	17	0	1	4	6	0	2	5	6	68	33	1	6	20.5
2619	0	8	0	0	0	16	0	0	3	2	24	7	22	0	71	4	2	6	28	0	40	16	72	54	152	0	0	1	3	19.2
2717	1	0	0	0	0	0	0	3	0	4	3	0	2	0	1	1	0	0	1	0	1	0	0	4	11	0	0	7	3	1.5
1396	2	0	0	0	0	0	0	4	0	76	5	7	1	5	1	1	0	0	2	2	0	0	1	2	7	0	0	5	3	5.5
1045	0	0	1	0	0	0	0	5	2	18	1	1	1	0	1	0	0	0	2	0	0	0	0	3	5	5	0	1	1	2.5
276	5	0	0	0	0	1	8	0	4	45	50	18	10	0	0	1	3	0	0	7	10	1	0	1	4	84	36	7	5	24
710	0	0	0	0	0	0	0	0	0	0	1	0	3	2	0	0	0	0	0	0	1	0	0	0	0	0	0	5	6	2.875
3112	0	0	0	0	0	0	6	4	2	8	11	10	1	2	0	3	7	0	0	1	0	0	2	6	3	36	10	7	6	10.5
1445	0	0	0	0	0	0	0	0	0	38	5	1	0	4	1	0	0	0	0	0	0	1	0	1	0	0	0	5	6	2.5
3226	1	0	1	0	3	1	1	9	0	14	23	8	9	3	0	0	2	0	12	0	4	0	1	14	60	1	0	7	3	6.775
223	5	0	0	1	1	0	3	1	1	172	27	27	7	0	0	0	2	0	0	6	17	0	1	1	1	71	27	7	5	22
113	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6	5	1
696	11	0	1	1	4	0	10	2	5	119	101	22	78	0	1	1	0	0	201	9	25	1	25	6	6	187	29	1	5	31
441	5	7	0	7	2	2	2	15	1	48	35	14	94	0	10	3	2	1	0	1	7	3	8	6	33	19	2	7	1	18
3631	1	1	0	0	0	1	0	0	0	6	7	1	0	0	0	0	0	1	5	0	0	0	0	2	2	9	16	1	2	3
11	4	0	0	0	0	2	1	10	0	1	10	0	9	0	4	0	0	0	20	1	7	1	14	16	3	5	0	6	5	9.5
2462	0	3	0	0	1	2	8	27	10	10	28	13	6	0	0	0	10	0	193	0	0	0	12	53	82	40	1	2	6	18
978	5	0	0	0	1	1	5	0	0	41	3	0	4	12	0	0	0	0	0	2	0	0	0	1	0	22	0	2	6	17
2922	0	2	4	1	1	1	4	5	4	17	70	37	28	2	1	4	9	3	0	4	2	0	7	6	5	76	69	7	6	19
766	2	0	0	0	0	0	0	0	0	24	8	0	8	1	0	0	0	0	0	0	2	0	0	1	2	0	0	2	3	2.5
2337	9	0	2	0	0	2	0	11	0	32	18	0	13	0	0	7	0	0	0	0	11	0	8	8	65	0	0	7	3	11
2946	1	4	25	0	0	21	0	0	2	17	21	2	10	19	12	6	6	2	52	0	21	8	43	69	72	0	0	1	3	14.55
3147	0	0	1	0	0	0	2	0	4	16	54	20	9	4	0	4	12	0	0	1	1	0	4	3	6	34	25	1	6	16.5
2469	2	0	0	0	0	1	0	0	0	0	8	7	0	1	0	0	0	0	0	0	0	0	0	0	1	8	0	6	6	1.5
2604	5	0	1	0	0	0	0	9	0	12	15	0	2	0	2	1	1	0	0	1	5	0	2	14	54	0	0	7	3	5.5
2557	5	0	2	2	1	4	0	7	0	30	22	0	22	6	5	4	3	0	2	3	12	2	6	16	89	0	0	7	3	10.5
3433	2	0	0	0	2	0	0	0	3	9	7	0	3	0	0	0	0	0	1	0	5	0	2	2	3	7	13	5	6	7.5
994	3	0	0	0	0	0	0	13	0	31	5	0	10	3	1	0	0	0	1	2	5	0	7	16	9	1	0	1	1	5
27	1	0	0	0	0	1	0	5	1	3	6	0	5	0	10	5	0	0	0	1	6	3	11	4	4	15	0	6	5	13.5
3266	0	2	0	0	0	0	3	1	2	10	9	1	0	20	0	3	1	0	2	0	1	0	0	0	3	7	2	7	6	8
1655	3	0	0	3	6	0	2	1	3	48	56	47	33	1	9	0	1	0	0	1	6	0	1	3	4	13	39	1	6	19
63	1	0	0	0	2	2	0	25	3	0	4	0	5	0	1	0	0	0	0	0	2	1	18	9	5	4	0	6	5	7.5
2893	5	3	3	0	1	0	0	37	1	17	31	2	31	9	1	1	1	0	1	1	3	0	11	31	79	1	0	7	3	10
1858	14	1	0	1	0	2	1	23	1	25	39	5	19	41	7	8	1	0	1	1	15	2	11	13	72	0	0	7	3	15
1175	1	0	0	0	0	0	0	36	2	4	5	6	5	3	0	2	2	4	7	0	0	0	1	1	5	10	2	1	1	5.5
3045	4	2	2	0	4	0	0	18	1	23	55	7	16	0	3	5	1	0	0	1	3	0	7	18	59	15	1	1	6	10
2207	2	1	3	0	1	0	1	13	5	8	37	3	61	0	3	0	0	0	29	0	18	2	7	19	38	1	0	5	6	16.5
1703	3	0	0	0	4	0	4	0	3	43	46	41	66	0	8	0	1	0	0	3	19	0	18	1	5	12	14	1	6	19.5
390	1	0	0	0	0	0	0	1	0	3	16	7	2	0	0	0	0	0	1	0	6	0	1	0	1	29	2	7	5	8.5
3661	0	0	0	0	0	0	0	0	3	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	5	2	2
2491	9	0	0	0	0	0	0	5	0	27	22	0	16	0	3	7	0	0	0	2	9	1	8	9	76	0	0	7	3	10.125
560	3	0	0	0	0	0	0	0	0	22	0	0	0	3	0	0	0	0	0	0	2	0	0	1	2	0	0	2	3	5
860	0	0	0	0	0	0	5	46	0	0	17	7	10	0	1	0	1	0	39	1	1	0	3	14	18	50	11	4	5	7.5
1624	18	7	4	3	5	1	10	39	3	22	62	8	37	122	34	17	13	0	21	0	11	11	23	89	86	28	1	7	3	31
1026	1	0	0	0	0	0	0	0	0	31	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	6	3
2088	5	0	0	0	0	0	1	0	1	32	13	1	19	0	0	0	0	0	0	4	8	0	0	0	3	11	0	5	6	8
1762	4	1	3	13	1	0	0	1	2	108	61	30	90	0	14	0	0	0	0	1	23	0	11	4	7	34	12	5	2	29
3400	6	6	2	0	0	3	0	15	0	6	23	1	21	1	0	1	2	0	2	0	4	0	5	29	43	1	0	5	3	7.5
2049	0	0	0	0	0	0	0	0	0	3	6	0	0	1	0	0	0	0	0	0	1	2	3	1	3	1	1	6	6	3.5
456	2	4	0	2	4	3	9	4	1	107	60	53	26	0	1	0	2	0	0	2	0	0	8	5	8	64	76	1	1	16.5
3397	4	5	1	0	0	0	1	8	1	12	29	1	12	1	1	1	1	0	14	1	7	0	2	26	20	3	0	1	3	5.5
2384	7	0	1	2	0	0	0	0	0	8	11	0	6	0	1	6	0	0	0	2	5	2	11	5	33	0	0	7	3	5
764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4
2091	3	0	0	0	1	0	0	1	10	9	30	5	22	7	0	0	1	0	0	1	3	0	1	2	4	26	6	5	6	10
2032	7	2	0	0	1	0	6	1	6	22	26	32	21	6	3	0	9	0	1	0	3	0	2	25	20	31	13	6	6	17
3091	6	4	1	4	1	1	0	2	0	33	31	1	22	2	1	1	1	0	2	0	11	0	3	33	76	0	0	7	3	12
1398	2	0	1	0	0	0	0	17	1	140	16	13	28	3	2	1	0	0	76	3	4	0	4	14	26	1	0	5	3	10
3375	1	3	1	0	0	0	0	7	1	27	35	1	12	1	2	0	2	0	10	0	3	1	3	22	53	3	0	1	3	5
3636	2	4	0	0	0	2	2	15	5	62	4	1	10	7	0	2	5	0	89	0	6	1	2	10	3	21	0	1	2	10.5
2488	9	0	0	1	0	0	0	0	3	20	20	3	15	8	0	1	0	0	0	3	9	1	6	3	35	0	0	7	3	10.185
330	0	1	0	0	0	1	4	1	1	6	24	13	1	0	0	0	0	0	0	2	0	0	0	4	1	46	18	7	5	8.5
3510	4	6	4	0	0	1	1	41	1	20	38	18	3	2	0	1	2	3	60	1	4	0	5	51	52	20	7	1	3	10.5
704	0	4	0	4	18	1	4	120	2	44	107	27	28	0	0	0	13	0	84	1	2	0	5	1	22	108	5	1	5	20
825	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1
2216	0	0	1	0	0	1	0	1	0	1	3	1	2	1	0	0	0	0	0	0	0	0	3	3	8	2	0	7	6	2.5
648	9	0	0	12	3	4	3	9	3	73	59	9	48	0	0	2	1	0	79	1	9	0	8	21	11	40	0	7	5	21
1523	7	2	0	0	3	9	7	71	1	30	33	29	45	8	5	6	2	0	206	0	6	2	7	23	15	61	0	1	5	28.5
1704	6	0	0	0	2	0	0	0	5	33	57	30	40	0	6	0	0	0	0	2	14	1	2	1	0	10	14	1	6	16
1748	5	0	0	0	0	0	0	0	0	55	13	3	4	0	4	0	0	0	3	1	4	0	0	2	0	15	4	5	6	8.5
2312	0	4	1	0	1	1	2	3	0	7	22	32	14	0	0	0	4	0	2	0	0	0	9	14	16	28	6	6	6	5.5
802	0	0	5	6	2	2	8	27	1	47	53	6	57	1	8	1	0	0	1	7	14	1	12	1	8	14	0	7	5	21
3275	5	4	4	0	0	0	2	1	1	25	32	4	15	6	3	2	2	0	3	1	6	0	8	14	17	9	0	1	3	10
3618	3	3	0	0	0	0	1	1	1	34	12	9	1	16	1	0	8	1	27	0	1	1	1	8	2	14	0	1	2	9.5
2780	8	6	2	0	0	2	0	16	0	3	22	8	27	5	2	0	3	0	0	2	3	0	8	13	37	29	4	7	6	14
2392	1	0	0	0	0	0	0	0	0	5	16	1	11	1	0	4	0	0	0	2	0	0	7	4	27	0	0	7	3	5.31
371	3	0	0	2	1	1	1	0	1	2	19	4	0	0	0	0	0	0	0	0	2	0	3	1	2	25	15	7	5	8
1078	8	0	0	0	0	2	0	0	0	31	3	0	3	9	0	0	0	0	22	0	1	0	2	3	0	7	0	2	1	5.5
2699	1	0	1	1	0	1	0	0	0	7	13	3	8	0	2	1	0	0	0	0	3	0	11	1	4	0	0	7	6	5
3197	4	2	9	0	0	3	0	15	1	24	22	2	14	5	2	0	1	0	8	2	4	0	3	22	58	1	0	7	3	10.5
938	3	0	0	0	0	0	0	0	0	39	2	0	5	0	1	1	0	0	0	0	8	0	0	0	0	0	0	1	1	5.5
1517	0	0	0	0	1	2	0	1	0	6	6	4	13	1	2	0	0	0	12	0	0	0	1	0	1	8	0	5	1	3.5
2585	5	5	1	0	1	0	0	5	0	25	30	10	29	2	3	5	1	0	0	5	6	3	5	4	12	27	0	7	6	13.5
707	0	4	0	0	3	0	3	17	0	0	13	10	28	0	7	0	7	1	33	1	1	0	10	1	30	32	0	2	5	7
452	3	2	0	4	3	0	0	5	1	23	41	21	54	0	2	1	1	0	0	2	5	3	6	3	7	33	9	7	1	17.5
467	1	1	0	1	1	0	14	1	1	79	39	79	23	0	1	1	2	0	0	1	3	0	4	8	11	52	123	1	1	17.5
2990	6	3	2	0	0	1	2	7	4	16	59	15	44	0	1	3	1	0	5	3	7	4	1	21	19	18	10	5	6	18.5
1587	3	0	0	0	0	0	0	0	0	54	9	2	0	4	3	0	0	0	0	1	3	0	0	0	0	0	0	5	6	5
1888	4	0	1	1	3	0	1	0	4	26	22	51	49	15	9	0	1	1	0	1	5	0	8	4	16	50	13	5	2	15
2139	7	3	0	0	1	0	3	1	3	37	34	0	18	12	1	0	3	0	0	1	32	1	3	10	23	24	0	5	6	15.5
3726	0	1	1	0	1	0	1	37	4	11	6	1	9	6	0	1	5	0	23	0	3	1	3	29	40	12	3	1	2	8.5
3581	0	2	1	0	2	0	0	2	2	18	20	19	3	0	1	0	2	1	29	0	5	0	4	7	13	13	17	1	2	6.5
1737	2	0	0	0	0	0	0	0	2	20	0	3	0	1	1	1	0	0	0	1	2	0	0	1	1	1	0	3	6	2
1472	8	0	1	1	1	2	0	13	0	5	0	0	1	12	14	2	2	0	15	0	1	1	7	11	17	5	0	7	3	7.5
3073	5	2	0	0	0	3	5	17	8	6	17	11	10	15	0	6	13	0	24	0	2	0	12	47	12	27	1	5	6	22
3372	2	3	0	0	0	0	7	10	2	111	46	0	5	2	3	2	10	2	28	0	9	0	4	31	14	100	27	1	6	21
466	2	0	0	3	7	0	11	1	0	48	38	92	23	0	1	2	1	0	0	4	0	0	7	2	10	97	119	1	1	17.5
587	2	0	0	0	0	5	0	0	0	9	2	0	2	0	0	0	0	0	0	2	1	0	0	0	1	0	0	2	3	8
2179	7	0	0	3	0	0	0	2	0	14	21	0	24	2	1	3	0	0	0	1	16	0	6	4	49	0	0	7	3	10.5
2234	7	0	2	0	0	0	0	0	1	9	5	0	5	5	0	4	2	0	0	0	6	0	3	2	66	0	0	7	3	5.5
3608	2	0	0	0	2	0	3	1	3	18	17	6	6	1	3	0	2	6	9	0	5	0	2	15	15	9	27	1	2	10
810	0	1	0	0	2	0	7	0	0	0	5	0	0	0	0	0	3	0	6	0	0	0	0	0	0	8	0	4	5	5.5
3554	3	0	0	0	0	0	1	1	0	11	20	24	10	0	1	0	0	3	10	0	6	1	3	25	33	9	7	5	3	6
3338	3	2	1	0	0	1	0	13	1	8	12	0	6	5	1	1	0	0	13	0	2	0	2	20	35	0	0	7	3	6.125
2871	4	6	4	0	0	6	2	14	1	26	35	13	20	2	1	1	8	0	5	2	12	0	7	17	20	17	13	7	6	16
2422	0	0	0	0	0	0	1	0	3	7	19	15	8	1	3	2	3	0	0	0	2	0	1	10	7	42	4	7	6	8.5
1982	3	0	0	0	0	0	4	0	1	16	13	19	9	2	0	0	1	0	0	0	1	0	4	1	2	11	4	5	2	8
2154	0	0	1	0	0	0	0	7	1	8	11	0	7	0	1	1	0	0	18	1	1	0	6	2	2	0	0	5	6	3.5
3067	2	16	4	0	0	3	0	19	5	22	64	17	66	0	1	3	7	0	19	0	7	2	22	81	56	45	3	1	6	18.5
1602	0	0	0	0	0	1	0	0	1	2	8	4	0	2	1	0	0	0	0	0	4	0	3	1	1	5	0	1	6	5.5
1086	0	0	0	0	0	1	0	9	0	12	2	2	2	2	0	1	0	0	0	1	0	0	2	8	2	0	0	5	1	3.5
1869	0	0	0	0	0	1	1	0	1	30	1	0	0	13	0	1	0	0	0	5	4	0	2	9	5	1	0	5	6	6
2943	1	0	0	0	0	1	0	0	0	34	16	6	15	16	17	6	0	2	0	2	9	1	3	2	10	0	0	7	6	5.5
3162	14	4	7	3	0	4	1	20	0	36	67	2	23	11	3	3	8	0	14	5	16	1	8	43	108	0	0	7	3	16
